
[Layer Start] Q_Proj (512x768x768)
macro_0: MacroOp({op_type: MacroOpType.LOAD, seq: 0, dep_tag: DependencyTag({ld_tag: -1, tu_tag: -1, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 768x512, comment: Load Weight_B_Tile[n=0,m=0]})
macro_1: MacroOp({op_type: MacroOpType.LOAD, seq: 1, dep_tag: DependencyTag({ld_tag: 0, tu_tag: -1, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 16x768, comment: Load Input_A_Tile[n=0,m=0]})
macro_2: MacroOp({op_type: MacroOpType.CONV, seq: 2, dep_tag: DependencyTag({ld_tag: 1, tu_tag: -1, st_tag: -1}), op_name: GEMM_Tile[n=0,m=0], dims: 16x512x768, tile_m: 16, strategy: Output Stationary})
macro_3: MacroOp({op_type: MacroOpType.STORE, seq: 3, dep_tag: DependencyTag({ld_tag: -1, tu_tag: 2, st_tag: -1}), src_type: MemType.UNI_SRAM, dst_type: MemType.DRAM, dims: 16x512, comment: Store Output_C_Tile[n=0,m=0]})
macro_4: MacroOp({op_type: MacroOpType.LOAD, seq: 4, dep_tag: DependencyTag({ld_tag: 1, tu_tag: 2, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 768x512, comment: Load Weight_B_Tile[n=0,m=1]})
macro_5: MacroOp({op_type: MacroOpType.LOAD, seq: 5, dep_tag: DependencyTag({ld_tag: 4, tu_tag: 2, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 16x768, comment: Load Input_A_Tile[n=0,m=1]})
macro_6: MacroOp({op_type: MacroOpType.CONV, seq: 6, dep_tag: DependencyTag({ld_tag: 5, tu_tag: 2, st_tag: -1}), op_name: GEMM_Tile[n=0,m=1], dims: 16x512x768, tile_m: 16, strategy: Output Stationary})
macro_7: MacroOp({op_type: MacroOpType.STORE, seq: 7, dep_tag: DependencyTag({ld_tag: -1, tu_tag: 6, st_tag: 3}), src_type: MemType.UNI_SRAM, dst_type: MemType.DRAM, dims: 16x512, comment: Store Output_C_Tile[n=0,m=1]})
macro_8: MacroOp({op_type: MacroOpType.LOAD, seq: 8, dep_tag: DependencyTag({ld_tag: 5, tu_tag: 6, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 768x512, comment: Load Weight_B_Tile[n=0,m=2]})
macro_9: MacroOp({op_type: MacroOpType.LOAD, seq: 9, dep_tag: DependencyTag({ld_tag: 8, tu_tag: 6, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 16x768, comment: Load Input_A_Tile[n=0,m=2]})
macro_10: MacroOp({op_type: MacroOpType.CONV, seq: 10, dep_tag: DependencyTag({ld_tag: 9, tu_tag: 6, st_tag: -1}), op_name: GEMM_Tile[n=0,m=2], dims: 16x512x768, tile_m: 16, strategy: Output Stationary})
macro_11: MacroOp({op_type: MacroOpType.STORE, seq: 11, dep_tag: DependencyTag({ld_tag: -1, tu_tag: 10, st_tag: 7}), src_type: MemType.UNI_SRAM, dst_type: MemType.DRAM, dims: 16x512, comment: Store Output_C_Tile[n=0,m=2]})
macro_12: MacroOp({op_type: MacroOpType.LOAD, seq: 12, dep_tag: DependencyTag({ld_tag: 9, tu_tag: 10, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 768x512, comment: Load Weight_B_Tile[n=0,m=3]})
macro_13: MacroOp({op_type: MacroOpType.LOAD, seq: 13, dep_tag: DependencyTag({ld_tag: 12, tu_tag: 10, st_tag: -1}), src_type: MemType.DRAM, dst_type: MemType.UNI_SRAM, dims: 16x768, comment: Load Input_A_Tile[n=0,m=3]})
macro_14: MacroOp({op_type: MacroOpType.CONV, seq: 14, dep_tag: DependencyTag({ld_tag: 13, tu_tag: 10, st_tag: -1}), op_name: GEMM_Tile[n=0,m=3], dims: 16x512x768, tile_m: 16, strategy: Output Stationary})
macro_15: MacroOp({op_type: MacroOpType.STORE, seq: 15, dep_tag: DependencyTag({ld_tag: -1, tu_tag: 14, st_tag: 11}), src_type: MemType.UNI_SRAM, dst_type: MemType.DRAM, dims: 16x512, comment: Store Output_C_Tile[n=0,m=3]})
